subject_id,variant,outcome,device_type,user_tenure_days,cart_value,is_returning_user,pre_experiment_outcome,date
ecom_006252,1,0.0,1.0,8.0,77.37,0.0,0.0,2024-01-20
ecom_004684,0,0.0,0.0,5.0,0.0,0.0,0.0,2024-01-02
ecom_001731,0,0.0,0.0,25.0,11.03,0.0,0.0,2024-01-22
ecom_004742,1,0.0,1.0,19.0,13.55,0.0,0.0,2024-01-16
ecom_004521,0,0.0,0.0,204.0,35.92,0.0,0.0,2024-01-24
ecom_006340,1,0.0,2.0,29.0,22.65,0.0,0.0,2024-01-11
ecom_000576,0,0.0,1.0,39.0,27.59,1.0,0.0,2024-01-18
ecom_005202,1,0.0,1.0,68.0,12.98,1.0,0.0,2024-01-15
ecom_006363,1,1.0,0.0,2.0,0.0,0.0,0.0,2024-01-01
ecom_000439,0,0.0,1.0,23.0,12.97,0.0,0.0,2024-01-12
ecom_002750,0,0.0,2.0,44.0,18.51,1.0,0.0,2024-01-04
ecom_007487,1,0.0,0.0,48.0,12.27,1.0,0.0,2024-01-27
ecom_005272,1,0.0,0.0,16.0,0.0,0.0,0.0,2024-01-10
ecom_005653,1,0.0,1.0,4.0,67.53,0.0,0.0,2024-01-15
ecom_003999,0,0.0,0.0,30.0,47.31,1.0,0.0,2024-01-18
ecom_006033,1,0.0,0.0,44.0,89.27,1.0,0.0,2024-01-29
ecom_000582,0,0.0,0.0,74.0,46.48,1.0,1.0,2024-01-16
ecom_009930,1,0.0,2.0,145.0,67.26,1.0,0.0,2024-01-27
ecom_007051,0,0.0,2.0,3.0,0.0,0.0,0.0,2024-01-02
ecom_008158,0,0.0,1.0,24.0,87.92,1.0,0.0,2024-01-25
ecom_009896,0,0.0,2.0,56.0,7.43,1.0,0.0,2024-01-30
ecom_002249,0,0.0,2.0,32.0,52.52,0.0,0.0,2024-01-12
ecom_004640,0,1.0,2.0,4.0,31.31,0.0,0.0,2024-01-12
ecom_009485,0,0.0,2.0,4.0,0.0,0.0,0.0,2024-01-17
ecom_004947,1,0.0,2.0,196.0,113.16,1.0,0.0,2024-01-11
ecom_009920,1,0.0,2.0,14.0,18.06,0.0,0.0,2024-01-25
ecom_001963,0,0.0,0.0,226.0,0.0,1.0,0.0,2024-01-14
ecom_008243,0,0.0,0.0,191.0,7.94,1.0,0.0,2024-01-30
ecom_006590,1,0.0,2.0,67.0,0.0,1.0,0.0,2024-01-17
ecom_008847,1,0.0,0.0,99.0,17.28,0.0,0.0,2024-01-18
ecom_000321,0,0.0,2.0,41.0,15.22,1.0,0.0,2024-01-04
ecom_002678,0,0.0,1.0,162.0,19.17,1.0,0.0,2024-01-22
ecom_004625,0,0.0,0.0,87.0,0.0,1.0,0.0,2024-01-03
ecom_004949,0,0.0,1.0,84.0,32.43,0.0,0.0,2024-01-08
ecom_008328,0,0.0,2.0,42.0,8.35,1.0,0.0,2024-01-12
ecom_003337,1,0.0,0.0,2.0,21.32,0.0,0.0,2024-01-13
