subject_id,variant,outcome,seller_tenure_days,avg_listing_price,listings_count,category_id,pre_experiment_outcome,date
mkt_006252,1,480.02,253.0,10.02,15.0,6.0,242.3,2024-01-24
mkt_004684,1,3561.51,565.0,12.86,12.0,1.0,436.3,2024-01-13
mkt_001731,0,364.16,105.0,14.56,8.0,1.0,250.99,2024-01-02
mkt_004742,1,865.39,111.0,9.85,17.0,2.0,388.21,2024-01-09
mkt_004521,1,705.7,139.0,2.85,12.0,5.0,270.52,2024-01-02
mkt_006340,1,335.2,92.0,30.63,12.0,3.0,310.42,2024-01-05
mkt_000576,0,1174.68,215.0,7.55,17.0,9.0,789.89,2024-01-15
mkt_005202,1,471.56,99.0,10.87,12.0,0.0,133.99,2024-01-07
mkt_006363,1,363.83,170.0,27.26,14.0,8.0,356.12,2024-01-11
mkt_000439,0,108.07,131.0,3.57,11.0,2.0,205.02,2024-01-18
mkt_002750,0,315.6,117.0,12.71,12.0,1.0,285.56,2024-01-09
mkt_007487,1,259.54,44.0,77.32,13.0,0.0,352.72,2024-01-22
mkt_005272,1,391.84,66.0,107.05,8.0,9.0,272.98,2024-01-24
mkt_005653,1,504.51,25.0,23.42,25.0,0.0,577.92,2024-01-22
mkt_003999,0,226.0,26.0,14.64,12.0,0.0,160.95,2024-01-21
mkt_006033,1,423.63,54.0,49.2,14.0,3.0,196.45,2024-01-02
mkt_000582,0,739.09,95.0,26.73,9.0,1.0,195.98,2024-01-16
mkt_009930,1,716.34,216.0,44.16,13.0,1.0,169.83,2024-01-28
mkt_007051,1,622.64,732.0,44.07,8.0,5.0,383.58,2024-01-02
mkt_008158,1,388.75,111.0,94.37,6.0,5.0,293.78,2024-01-26
mkt_009896,1,518.96,644.0,17.87,11.0,9.0,462.09,2024-01-11
mkt_002249,0,623.27,71.0,18.96,12.0,0.0,178.95,2024-01-26
mkt_004640,1,322.48,98.0,6.87,19.0,0.0,461.93,2024-01-09
mkt_009485,1,266.38,27.0,50.81,11.0,2.0,836.91,2024-01-17
mkt_004947,1,389.39,307.0,18.76,15.0,8.0,453.53,2024-01-08
mkt_009920,1,263.7,160.0,7.48,13.0,7.0,207.42,2024-01-01
mkt_001963,0,53.58,22.0,5.65,12.0,1.0,529.85,2024-01-26
mkt_008243,1,351.6,8.0,9.05,15.0,5.0,176.0,2024-01-06
mkt_006590,1,121.28,81.0,12.42,15.0,5.0,154.04,2024-01-17
mkt_008847,1,781.1,956.0,37.58,13.0,5.0,320.68,2024-01-11
mkt_000321,0,1611.79,321.0,23.75,13.0,3.0,414.7,2024-01-29
mkt_002678,0,153.28,105.0,8.74,11.0,5.0,57.56,2024-01-26
mkt_004625,1,235.92,54.0,11.2,10.0,0.0,132.62,2024-01-06
mkt_004949,1,4613.71,615.0,55.26,13.0,3.0,778.5,2024-01-08
mkt_008328,1,506.5,80.0,23.19,19.0,6.0,496.48,2024-01-19
mkt_003337,0,186.19,500.0,27.69,8.0,7.0,414.37,2024-01-09
mkt_005589,1,229.41,93.0,5.83,16.0,3.0,152.81,2024-01-28
mkt_000251,0,658.64,42.0,28.84,12.0,6.0,256.79,2024-01-09
mkt_003973,0,263.06,99.0,18.26,9.0,3.0,394.98,2024-01-15
mkt_006630,1,440.75,176.0,28.18,14.0,9.0,310.28,2024-01-30
mkt_005547,1,35.36,20.0,5.95,11.0,6.0,96.05,2024-01-23
mkt_000035,0,196.22,1113.0,10.81,14.0,8.0,1761.98,2024-01-08
mkt_008362,1,500.6,1746.0,62.4,20.0,0.0,301.78,2024-01-19
mkt_001513,0,1218.58,238.0,18.15,18.0,2.0,392.79,2024-01-19
mkt_009317,1,580.64,237.0,54.14,15.0,5.0,55.71,2024-01-29
mkt_000039,0,133.12,1156.0,14.0,10.0,0.0,129.71,2024-01-20
mkt_004819,1,250.39,476.0,55.2,8.0,2.0,421.06,2024-01-18
mkt_003465,0,64.41,264.0,61.06,16.0,9.0,87.16,2024-01-11
mkt_001760,0,103.69,339.0,33.29,7.0,9.0,305.0,2024-01-08
mkt_002304,0,156.39,95.0,6.47,14.0,8.0,249.02,2024-01-02
mkt_003723,0,184.01,92.0,124.08,11.0,2.0,549.88,2024-01-09
mkt_008284,1,527.36,66.0,84.95,14.0,4.0,11.56,2024-01-14
mkt_004993,1,2587.22,436.0,263.91,10.0,6.0,380.72,2024-01-25
mkt_008127,1,425.0,87.0,11.75,12.0,1.0,198.47,2024-01-30
mkt_003032,0,1863.84,41.0,127.04,21.0,7.0,91.17,2024-01-15
mkt_007938,1,249.51,62.0,29.95,13.0,5.0,209.75,2024-01-04
mkt_003039,0,1195.38,151.0,175.74,11.0,7.0,133.44,2024-01-02
mkt_009655,1,773.77,38.0,53.04,10.0,1.0,555.59,2024-01-25
mkt_002545,0,113.49,24.0,1.79,12.0,7.0,78.51,2024-01-15
mkt_002592,0,80.59,222.0,94.11,6.0,6.0,193.63,2024-01-13
mkt_001188,0,758.29,47.0,18.23,17.0,9.0,138.91,2024-01-17
mkt_007966,1,840.2,74.0,15.2,16.0,7.0,87.62,2024-01-10
mkt_006077,1,2402.17,127.0,22.08,17.0,1.0,130.6,2024-01-10
mkt_000107,0,772.29,39.0,13.92,13.0,0.0,179.09,2024-01-25
mkt_001315,0,288.23,464.0,17.88,16.0,0.0,410.84,2024-01-12
mkt_008187,1,51.49,34.0,21.18,9.0,7.0,169.45,2024-01-13
mkt_002753,0,24.57,17.0,25.36,7.0,0.0,27.27,2024-01-09
mkt_009753,1,1090.17,1135.0,66.21,10.0,4.0,573.68,2024-01-25
mkt_006231,1,470.46,97.0,12.59,15.0,2.0,176.37,2024-01-23
mkt_002876,0,382.43,1147.0,165.51,7.0,4.0,223.45,2024-01-16
mkt_005323,1,1387.04,670.0,19.39,11.0,8.0,643.79,2024-01-09
mkt_000799,0,127.7,8.0,138.65,6.0,7.0,100.11,2024-01-08
mkt_003570,0,215.89,284.0,8.73,13.0,0.0,241.67,2024-01-23
mkt_002894,0,401.26,142.0,4.07,10.0,3.0,303.05,2024-01-15
mkt_002927,0,1148.18,126.0,10.47,10.0,8.0,286.55,2024-01-19
mkt_008178,1,315.29,373.0,50.03,7.0,1.0,525.04,2024-01-25
mkt_000971,0,130.43,111.0,2.17,6.0,0.0,206.24,2024-01-06
mkt_006687,1,436.42,115.0,27.79,16.0,5.0,143.09,2024-01-12
mkt_008575,1,887.17,1483.0,12.57,17.0,1.0,186.37,2024-01-12
mkt_002020,0,374.13,101.0,8.31,12.0,8.0,262.62,2024-01-11
mkt_009054,1,403.92,634.0,7.86,10.0,0.0,321.12,2024-01-04
mkt_000952,0,636.9,186.0,16.19,13.0,7.0,1953.46,2024-01-10
mkt_005359,1,357.45,422.0,10.55,7.0,2.0,461.72,2024-01-06
mkt_003857,0,657.2,37.0,34.81,10.0,2.0,240.25,2024-01-16
mkt_005861,1,483.98,58.0,52.34,13.0,3.0,213.59,2024-01-05
mkt_003145,0,129.62,22.0,105.11,10.0,1.0,183.23,2024-01-22
mkt_003305,0,1030.53,227.0,6.2,11.0,5.0,114.2,2024-01-10
mkt_003006,0,88.3,85.0,37.04,13.0,0.0,105.97,2024-01-06
mkt_009001,1,818.28,382.0,78.04,13.0,0.0,576.7,2024-01-10
mkt_007770,1,232.32,60.0,8.78,15.0,9.0,559.55,2024-01-14
mkt_007438,1,89.55,4.0,176.46,11.0,5.0,58.33,2024-01-17
mkt_007942,1,113.06,274.0,16.22,12.0,6.0,466.52,2024-01-03
mkt_009238,1,41.57,108.0,13.76,6.0,9.0,345.52,2024-01-28
mkt_001056,0,337.56,153.0,5.33,15.0,4.0,288.39,2024-01-13
mkt_003154,0,187.62,36.0,3.42,17.0,7.0,292.45,2024-01-23
mkt_003787,0,110.33,20.0,7.24,19.0,0.0,194.31,2024-01-30
mkt_009189,1,1567.02,213.0,35.39,15.0,3.0,604.15,2024-01-03
mkt_007825,1,288.93,22.0,7.36,11.0,0.0,147.52,2024-01-09
mkt_007539,1,195.17,452.0,24.64,8.0,4.0,262.29,2024-01-17
mkt_007231,1,458.35,96.0,74.09,8.0,2.0,369.01,2024-01-04
mkt_000764,0,52.39,4.0,5.84,7.0,3.0,110.19,2024-01-22
mkt_005019,1,139.61,61.0,28.6,15.0,4.0,104.28,2024-01-05
mkt_004903,1,540.79,709.0,9.48,12.0,7.0,186.24,2024-01-11
mkt_008093,1,928.35,115.0,12.28,16.0,5.0,162.52,2024-01-19
mkt_006843,1,268.41,326.0,7.02,14.0,8.0,121.75,2024-01-10
mkt_002165,0,293.86,724.0,78.93,10.0,2.0,359.16,2024-01-23
mkt_001862,0,121.88,169.0,4.44,20.0,1.0,322.42,2024-01-08
mkt_007850,1,1465.05,36.0,32.16,12.0,0.0,431.03,2024-01-16
mkt_009123,1,708.32,421.0,18.29,14.0,5.0,119.61,2024-01-07
mkt_002340,0,721.81,1024.0,16.53,16.0,3.0,928.85,2024-01-22
mkt_005527,1,137.99,27.0,29.71,10.0,3.0,479.89,2024-01-28
mkt_006743,1,1539.6,87.0,22.06,13.0,6.0,405.41,2024-01-17
mkt_004003,0,783.36,33.0,58.16,13.0,9.0,79.8,2024-01-25
mkt_001123,0,235.24,93.0,28.62,8.0,2.0,156.87,2024-01-09
mkt_008709,1,2450.45,248.0,18.64,8.0,1.0,369.59,2024-01-18
mkt_004049,0,260.47,39.0,81.77,10.0,8.0,136.0,2024-01-16
mkt_007640,1,327.26,67.0,17.4,8.0,4.0,227.46,2024-01-29
mkt_000765,0,584.17,79.0,188.67,8.0,3.0,497.53,2024-01-10
mkt_002344,0,57.97,14.0,19.47,8.0,2.0,288.82,2024-01-17
mkt_004071,0,46.41,38.0,46.27,14.0,6.0,257.38,2024-01-03
mkt_007216,1,984.34,433.0,16.71,9.0,1.0,248.6,2024-01-24
mkt_004216,0,177.44,150.0,8.2,8.0,9.0,231.69,2024-01-30
mkt_007952,1,157.12,26.0,28.15,14.0,7.0,201.56,2024-01-30
mkt_005970,1,597.29,138.0,6.12,13.0,2.0,177.08,2024-01-17
mkt_003350,0,483.7,111.0,28.11,15.0,2.0,248.65,2024-01-15
mkt_004695,1,697.56,139.0,24.69,6.0,6.0,1648.88,2024-01-21
mkt_003399,0,1248.86,247.0,7.6,9.0,9.0,580.86,2024-01-10
mkt_004081,0,434.24,233.0,65.59,11.0,9.0,728.61,2024-01-16
mkt_009149,1,1481.73,406.0,46.67,12.0,8.0,555.25,2024-01-25
mkt_001224,0,332.75,5.0,30.44,16.0,5.0,183.32,2024-01-04
mkt_006292,1,181.28,66.0,6.65,12.0,3.0,183.28,2024-01-01
mkt_003122,0,3636.52,643.0,107.66,5.0,6.0,502.22,2024-01-03
mkt_000510,0,146.87,217.0,71.71,11.0,0.0,159.26,2024-01-26
mkt_005794,1,44.51,51.0,139.65,13.0,0.0,125.53,2024-01-27
mkt_008181,1,47.44,6.0,26.34,13.0,4.0,59.97,2024-01-09
mkt_009417,1,24.59,31.0,97.22,14.0,5.0,598.21,2024-01-28
mkt_000096,0,170.41,111.0,13.8,15.0,6.0,363.57,2024-01-16
mkt_006681,1,254.43,177.0,38.44,12.0,5.0,1558.61,2024-01-21
mkt_001512,0,846.21,13.0,10.71,14.0,8.0,64.16,2024-01-17
mkt_008791,1,653.71,942.0,245.07,12.0,1.0,848.55,2024-01-27
mkt_000119,0,73.4,70.0,33.19,12.0,5.0,407.86,2024-01-29
mkt_007791,1,3602.59,128.0,14.55,8.0,5.0,284.3,2024-01-25
mkt_006517,1,171.5,24.0,17.07,9.0,3.0,81.65,2024-01-19
mkt_000033,0,362.15,65.0,8.21,11.0,6.0,85.41,2024-01-26
mkt_007887,1,526.34,182.0,30.12,9.0,6.0,1314.7,2024-01-20
mkt_006830,1,302.29,61.0,33.51,6.0,4.0,153.37,2024-01-22
mkt_005421,1,72.9,49.0,4.22,12.0,6.0,703.51,2024-01-01
mkt_001068,0,474.56,21.0,41.26,9.0,5.0,137.0,2024-01-04
mkt_001347,0,47.54,9.0,32.78,13.0,4.0,183.55,2024-01-01
mkt_004747,1,152.98,56.0,4.31,11.0,5.0,94.52,2024-01-14
mkt_006005,1,321.75,37.0,46.05,19.0,5.0,135.81,2024-01-03
mkt_006039,1,174.08,82.0,52.54,9.0,6.0,60.51,2024-01-19
mkt_003817,0,61.72,6.0,3.55,15.0,6.0,68.44,2024-01-29
mkt_008446,1,88.1,105.0,104.88,10.0,6.0,1083.82,2024-01-24
mkt_005269,1,291.4,40.0,5.42,14.0,2.0,118.22,2024-01-12
mkt_006897,1,131.06,91.0,29.17,11.0,0.0,406.73,2024-01-17
mkt_005309,1,429.5,157.0,40.41,13.0,0.0,435.53,2024-01-23
mkt_000031,0,1122.43,139.0,9.16,10.0,8.0,167.12,2024-01-26
mkt_005674,1,127.56,57.0,5.62,14.0,2.0,1250.55,2024-01-24
mkt_004386,0,171.32,210.0,22.88,7.0,7.0,818.92,2024-01-01
mkt_000029,0,1232.96,920.0,16.37,18.0,5.0,117.53,2024-01-07
mkt_004202,0,937.18,424.0,48.75,12.0,4.0,290.15,2024-01-16
mkt_007507,1,543.31,166.0,32.69,11.0,1.0,139.41,2024-01-14
mkt_000735,0,207.84,33.0,49.56,8.0,1.0,565.11,2024-01-29
mkt_002067,0,456.49,195.0,3.88,11.0,5.0,183.02,2024-01-17
mkt_000106,0,23.53,34.0,46.73,14.0,8.0,56.78,2024-01-13
mkt_009644,1,380.59,96.0,14.57,8.0,7.0,270.79,2024-01-14
mkt_008894,1,269.96,435.0,6.37,16.0,9.0,160.83,2024-01-01
mkt_008020,1,731.11,450.0,23.02,13.0,5.0,85.34,2024-01-13
mkt_002232,0,561.08,222.0,15.27,12.0,8.0,244.42,2024-01-22
mkt_000993,0,209.77,244.0,36.58,11.0,5.0,540.69,2024-01-15
mkt_009412,1,595.68,162.0,19.71,5.0,7.0,105.34,2024-01-05
mkt_007058,1,806.79,331.0,21.97,9.0,4.0,126.86,2024-01-18
mkt_006789,1,394.48,100.0,13.03,10.0,1.0,68.6,2024-01-24
mkt_000360,0,126.72,609.0,6.79,9.0,7.0,386.15,2024-01-30
mkt_000304,0,73.85,58.0,22.16,12.0,9.0,144.69,2024-01-25
mkt_002627,0,369.46,68.0,35.01,12.0,2.0,124.47,2024-01-19
mkt_008965,1,174.24,18.0,34.43,13.0,1.0,155.48,2024-01-05
mkt_004513,1,246.19,56.0,73.21,10.0,8.0,67.69,2024-01-02
mkt_005910,1,486.93,128.0,26.79,9.0,0.0,149.03,2024-01-19
mkt_008313,1,2116.75,469.0,37.34,12.0,3.0,285.33,2024-01-06
mkt_003100,0,150.2,280.0,46.86,13.0,3.0,1052.22,2024-01-09
mkt_005703,1,349.48,40.0,2.29,14.0,2.0,300.95,2024-01-19
mkt_003898,0,1562.81,671.0,51.82,13.0,2.0,240.75,2024-01-14
mkt_005440,1,1411.4,103.0,15.16,10.0,2.0,269.04,2024-01-09
mkt_007930,1,1083.95,441.0,15.16,7.0,5.0,236.77,2024-01-23
mkt_000621,0,436.98,79.0,16.09,13.0,4.0,152.15,2024-01-15
mkt_007235,1,794.7,189.0,13.54,17.0,0.0,365.77,2024-01-04
mkt_002498,0,95.48,459.0,9.89,21.0,2.0,274.52,2024-01-09
mkt_000713,0,1575.48,1221.0,5.93,19.0,5.0,552.07,2024-01-08
mkt_008403,1,392.11,93.0,7.53,17.0,5.0,87.93,2024-01-24
mkt_002855,0,59.88,160.0,25.75,10.0,5.0,891.59,2024-01-30
mkt_004269,0,264.81,119.0,26.58,10.0,4.0,228.33,2024-01-01
mkt_002908,0,687.49,160.0,15.82,9.0,2.0,261.26,2024-01-02
mkt_008080,1,449.59,18.0,8.7,8.0,9.0,169.18,2024-01-19
mkt_004516,1,611.14,170.0,12.37,19.0,4.0,1093.84,2024-01-26
mkt_001261,0,490.38,31.0,42.93,17.0,8.0,295.3,2024-01-04
mkt_003160,0,694.34,182.0,42.77,12.0,2.0,176.11,2024-01-29
mkt_000970,0,351.3,81.0,21.88,13.0,4.0,161.36,2024-01-17
mkt_003912,0,330.66,7.0,9.52,16.0,8.0,296.1,2024-01-16
mkt_005198,1,369.07,61.0,65.48,15.0,0.0,418.95,2024-01-17
mkt_008846,1,150.48,15.0,22.88,16.0,1.0,289.62,2024-01-28
mkt_000259,0,70.52,108.0,22.29,15.0,6.0,163.15,2024-01-24
mkt_003790,0,641.77,227.0,18.23,13.0,8.0,268.66,2024-01-18
mkt_009202,1,58.47,118.0,33.99,12.0,3.0,545.93,2024-01-01
mkt_000487,0,209.8,10.0,9.28,13.0,3.0,160.82,2024-01-24
mkt_007907,1,755.98,1221.0,18.9,11.0,0.0,253.66,2024-01-27
mkt_000518,0,242.84,877.0,12.41,9.0,1.0,288.2,2024-01-18
mkt_008342,1,70.63,32.0,8.85,18.0,5.0,100.08,2024-01-19
mkt_000311,0,489.97,292.0,10.74,13.0,0.0,305.54,2024-01-15
mkt_003231,0,386.94,8.0,2.28,16.0,6.0,108.82,2024-01-20
mkt_007932,1,301.66,342.0,13.02,10.0,5.0,728.52,2024-01-21
mkt_007457,1,616.05,25.0,11.82,12.0,9.0,35.23,2024-01-27
mkt_009783,1,546.53,67.0,21.86,11.0,4.0,450.06,2024-01-29
mkt_005183,1,625.24,718.0,46.79,14.0,6.0,172.36,2024-01-15
mkt_008076,1,57.32,33.0,46.07,7.0,4.0,85.32,2024-01-29
mkt_006501,1,2680.95,97.0,11.61,11.0,1.0,119.07,2024-01-19
mkt_006790,1,380.09,91.0,36.6,10.0,8.0,108.1,2024-01-12
mkt_007772,1,96.99,457.0,51.51,9.0,6.0,252.36,2024-01-30
mkt_002737,0,870.24,250.0,29.03,9.0,5.0,506.16,2024-01-05
mkt_007841,1,1083.58,920.0,48.04,12.0,3.0,263.44,2024-01-11
mkt_006261,1,334.45,7.0,57.57,9.0,1.0,237.14,2024-01-29
mkt_008205,1,195.03,40.0,7.02,15.0,7.0,589.47,2024-01-24
mkt_001247,0,776.76,49.0,21.16,15.0,0.0,426.19,2024-01-24
mkt_009335,1,223.11,34.0,33.36,7.0,0.0,243.58,2024-01-30
mkt_004194,0,302.82,138.0,14.67,16.0,7.0,209.94,2024-01-04
mkt_008000,1,50.9,48.0,14.46,16.0,2.0,1109.84,2024-01-03
mkt_007377,1,278.97,96.0,17.2,9.0,2.0,220.62,2024-01-04
