subject_id,variant,outcome,company_size,days_since_signup,plan_type,feature_usage_count,pre_experiment_outcome,experiment_day
saas_006252,1,44.87,91.0,3.0,2.0,3.0,38.35,24
saas_004684,0,23.42,7.0,3.0,0.0,12.0,13.18,28
saas_001731,1,20.76,19.0,1.0,0.0,18.0,14.27,27
saas_004742,0,42.28,17.0,10.0,0.0,12.0,49.13,3
saas_004521,0,19.27,32.0,5.0,1.0,10.0,6.22,29
saas_006340,1,27.58,13.0,25.0,0.0,8.0,6.87,21
saas_000576,1,57.55,149.0,40.0,1.0,5.0,40.28,20
saas_005202,0,32.24,4.0,64.0,0.0,11.0,38.72,12
saas_006363,0,0.0,21.0,12.0,1.0,6.0,16.65,30
saas_000439,1,17.23,38.0,6.0,1.0,7.0,36.87,12
saas_002750,1,30.75,36.0,30.0,1.0,7.0,50.01,26
saas_007487,1,17.34,85.0,13.0,0.0,10.0,39.14,20
saas_005272,0,0.0,7.0,61.0,1.0,2.0,38.28,13
saas_005653,1,78.09,49.0,6.0,1.0,12.0,47.51,30
saas_003999,0,43.54,3.0,9.0,0.0,5.0,40.64,8
saas_006033,0,44.02,36.0,9.0,1.0,17.0,25.57,11
saas_000582,1,9.31,12.0,18.0,2.0,4.0,30.31,21
saas_009930,1,23.47,2.0,13.0,1.0,4.0,50.37,25
saas_007051,0,0.0,281.0,16.0,1.0,5.0,30.65,7
saas_008158,1,61.23,21.0,1.0,0.0,8.0,28.12,20
saas_009896,0,15.45,16.0,2.0,0.0,11.0,15.81,1
saas_002249,0,32.24,115.0,10.0,1.0,10.0,29.39,3
saas_004640,0,17.75,196.0,28.0,0.0,5.0,35.36,19
saas_009485,1,7.7,44.0,21.0,0.0,7.0,3.87,30
saas_004947,0,52.47,34.0,15.0,1.0,11.0,36.13,26
saas_009920,0,4.62,339.0,1.0,2.0,6.0,28.97,5
saas_001963,1,36.36,14.0,4.0,0.0,12.0,8.67,12
saas_008243,1,48.07,182.0,5.0,2.0,7.0,23.2,23
saas_006590,0,36.19,35.0,16.0,2.0,7.0,34.97,30
saas_008847,0,0.0,1.0,16.0,0.0,13.0,0.0,18
saas_000321,1,24.98,15.0,5.0,0.0,5.0,25.38,9
saas_002678,1,17.1,1.0,43.0,0.0,5.0,8.28,4
saas_004625,1,37.31,35.0,10.0,1.0,9.0,34.63,4
saas_004949,0,13.73,71.0,17.0,1.0,10.0,52.41,26
saas_008328,0,29.51,6.0,30.0,0.0,10.0,0.0,4
saas_003337,1,30.08,41.0,31.0,0.0,10.0,42.02,18
saas_005589,1,7.96,4.0,7.0,0.0,11.0,24.16,24
saas_000251,1,29.17,33.0,5.0,0.0,9.0,7.68,29
saas_003973,1,55.21,257.0,64.0,0.0,7.0,31.59,14
saas_006630,0,81.54,33.0,10.0,1.0,10.0,55.97,30
saas_005547,0,11.15,88.0,20.0,1.0,4.0,19.63,18
saas_000035,0,0.0,109.0,22.0,1.0,11.0,32.45,5
saas_008362,0,0.0,74.0,11.0,1.0,4.0,10.09,2
saas_001513,1,59.72,1.0,6.0,2.0,10.0,26.7,21
saas_009317,0,33.41,8.0,4.0,1.0,10.0,30.55,27
saas_000039,0,53.75,53.0,4.0,1.0,7.0,40.61,6
saas_004819,1,7.0,2.0,4.0,0.0,8.0,23.93,23
saas_003465,0,78.43,444.0,1.0,1.0,8.0,44.81,15
saas_001760,1,13.43,3.0,19.0,1.0,7.0,12.11,18
saas_002304,1,21.13,34.0,19.0,0.0,7.0,23.64,29
saas_003723,1,27.64,78.0,8.0,2.0,5.0,29.18,12
saas_008284,0,20.81,59.0,11.0,0.0,8.0,13.85,23
saas_004993,0,42.54,7.0,3.0,0.0,5.0,33.62,3
saas_008127,1,10.09,145.0,24.0,0.0,5.0,9.93,7
saas_003032,1,0.45,3.0,6.0,0.0,8.0,0.0,15
saas_007938,0,32.17,48.0,16.0,1.0,8.0,35.38,25
saas_003039,0,0.0,18.0,18.0,2.0,7.0,21.69,9
saas_009655,1,9.9,1.0,1.0,0.0,6.0,0.0,22
saas_002545,1,0.45,9.0,34.0,2.0,6.0,19.26,15
saas_002592,0,45.29,40.0,5.0,0.0,10.0,31.98,23
saas_001188,1,6.86,50.0,1.0,1.0,7.0,17.07,22
saas_007966,1,0.86,15.0,13.0,0.0,7.0,23.57,2
saas_006077,0,33.24,5.0,3.0,0.0,4.0,10.43,23
saas_000107,1,38.3,12.0,8.0,0.0,7.0,22.83,22
saas_001315,0,56.13,315.0,35.0,2.0,2.0,26.38,9
saas_008187,0,17.69,4.0,8.0,0.0,8.0,11.81,24
saas_002753,0,9.93,23.0,20.0,2.0,7.0,24.73,15
saas_009753,0,23.84,52.0,1.0,0.0,8.0,54.22,6
saas_006231,1,0.45,73.0,27.0,0.0,6.0,15.0,18
saas_002876,1,0.45,2.0,15.0,0.0,13.0,0.0,4
saas_005323,0,68.73,5.0,4.0,0.0,8.0,87.72,12
saas_000799,1,63.45,21.0,4.0,2.0,10.0,44.05,24
saas_003570,1,31.56,59.0,22.0,2.0,1.0,41.26,2
saas_002894,1,25.82,7.0,44.0,0.0,11.0,28.7,30
saas_002927,1,4.33,30.0,11.0,1.0,3.0,24.96,7
saas_008178,1,75.8,14.0,14.0,0.0,8.0,55.68,12
saas_000971,1,13.32,17.0,3.0,0.0,9.0,11.04,23
saas_006687,0,39.58,3.0,6.0,1.0,6.0,21.44,20
saas_008575,0,14.44,37.0,14.0,1.0,6.0,9.17,2
saas_002020,0,60.57,20.0,6.0,0.0,8.0,45.72,4
saas_009054,1,0.45,39.0,6.0,0.0,7.0,0.0,18
saas_000952,0,9.38,41.0,5.0,0.0,15.0,23.15,18
saas_005359,0,61.68,16.0,5.0,0.0,8.0,62.3,30
saas_003857,1,0.45,20.0,14.0,1.0,13.0,33.12,30
saas_005861,0,80.77,122.0,19.0,1.0,9.0,55.08,11
saas_003145,1,1.46,35.0,10.0,0.0,3.0,18.45,14
saas_003305,1,36.22,43.0,9.0,0.0,12.0,37.28,28
saas_003006,0,0.0,1.0,8.0,2.0,6.0,23.36,3
saas_009001,1,7.22,3.0,26.0,0.0,7.0,28.95,20
saas_007770,0,21.49,126.0,5.0,0.0,14.0,27.2,23
saas_007438,0,33.09,6.0,1.0,2.0,10.0,49.17,15
saas_007942,1,0.45,61.0,29.0,0.0,15.0,5.56,13
saas_009238,0,27.2,15.0,7.0,0.0,5.0,17.48,1
saas_001056,1,35.18,25.0,1.0,0.0,5.0,48.68,16
saas_003154,1,44.1,8.0,26.0,1.0,9.0,37.34,19
saas_003787,1,17.85,21.0,34.0,1.0,8.0,13.49,3
saas_009189,0,32.28,74.0,12.0,0.0,10.0,23.46,21
saas_007825,1,0.45,19.0,4.0,2.0,8.0,6.96,17
saas_007539,0,19.36,14.0,1.0,1.0,6.0,33.21,4
saas_007231,0,15.05,98.0,45.0,0.0,6.0,29.75,21
saas_000764,0,58.89,33.0,11.0,1.0,5.0,54.31,26
saas_005019,1,46.02,75.0,6.0,1.0,4.0,15.93,12
saas_004903,0,2.2,26.0,2.0,0.0,9.0,25.57,6
saas_008093,0,0.0,23.0,18.0,1.0,7.0,0.0,26
saas_006843,1,26.41,18.0,25.0,1.0,5.0,26.09,17
saas_002165,1,31.83,130.0,4.0,0.0,14.0,39.16,15
saas_001862,0,19.89,167.0,20.0,0.0,7.0,8.12,27
saas_007850,0,1.39,51.0,32.0,2.0,11.0,23.39,15
saas_009123,1,74.31,40.0,6.0,0.0,6.0,43.5,6
saas_002340,0,41.34,184.0,13.0,1.0,10.0,29.13,17
saas_005527,0,19.99,27.0,13.0,0.0,6.0,15.11,2
saas_006743,0,0.0,184.0,5.0,0.0,10.0,0.0,20
saas_004003,0,43.0,577.0,10.0,1.0,2.0,42.64,5
saas_001123,1,31.18,14.0,51.0,1.0,4.0,29.39,3
saas_008709,0,63.99,9.0,3.0,0.0,7.0,35.89,5
saas_004049,1,7.15,22.0,8.0,1.0,14.0,23.0,16
saas_007640,0,27.93,11.0,1.0,2.0,6.0,11.4,11
saas_000765,0,47.97,1.0,7.0,0.0,9.0,39.02,28
saas_002344,1,58.19,67.0,6.0,1.0,7.0,36.76,8
saas_004071,0,45.91,15.0,20.0,2.0,11.0,25.05,11
saas_007216,0,0.0,1.0,17.0,2.0,7.0,16.63,15
saas_004216,1,48.21,123.0,13.0,2.0,6.0,20.93,25
saas_007952,1,54.76,19.0,23.0,0.0,8.0,28.84,5
saas_005970,0,0.0,38.0,14.0,1.0,11.0,1.13,6
saas_003350,0,79.69,22.0,1.0,1.0,15.0,53.08,26
saas_004695,0,16.33,34.0,20.0,0.0,5.0,9.54,27
saas_003399,0,16.38,9.0,2.0,1.0,7.0,13.16,11
